symbol,company_name,sector_33,market_category,scale_category,is_financial,low_liquidity_candidate,include_for_collection,priority_score
3433,トーカロ,金属製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13433
3436,ＳＵＭＣＯ,金属製品,プライム（内国株式）,TOPIX Mid400,0,0,1,13436
3443,川田テクノロジーズ,金属製品,プライム（内国株式）,TOPIX Small 2,0,1,1,13443
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13445
3457,Ａｎｄ　Ｄｏホールディングス,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13457
3465,ケイアイスター不動産,不動産業,プライム（内国株式）,TOPIX Small 1,0,1,1,13465
3475,グッドコムアセット,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13475
3480,ジェイ・エス・ビー,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13480
3482,ロードスターキャピタル,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13482
3486,グローバル・リンク・マネジメント,不動産業,プライム（内国株式）,-,0,0,1,13486
3496,アズーム,不動産業,プライム（内国株式）,TOPIX Small 2,0,1,1,13496
3498,霞ヶ関キャピタル,不動産業,プライム（内国株式）,TOPIX Small 1,0,1,1,13498
3501,ＳＵＭＩＮＯＥ,繊維製品,プライム（内国株式）,-,0,0,1,13501
3539,ＪＭホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13539
3543,コメダホールディングス,卸売業,プライム（内国株式）,TOPIX Small 1,0,1,1,13543
3546,アレンザホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13546
3548,バロックジャパンリミテッド,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13548
3549,クスリのアオキホールディングス,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13549
3561,力の源ホールディングス,小売業,プライム（内国株式）,TOPIX Small 2,0,1,1,13561
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,プライム（内国株式）,TOPIX Mid400,0,0,1,13563
3569,セーレン,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13569
3580,小松マテーレ,繊維製品,プライム（内国株式）,TOPIX Small 2,0,1,1,13580
3591,ワコールホールディングス,繊維製品,プライム（内国株式）,TOPIX Mid400,0,0,1,13591
3593,ホギメディカル,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13593
3608,ＴＳＩホールディングス,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13608
3612,ワールド,繊維製品,プライム（内国株式）,TOPIX Small 1,0,1,1,13612
3626,ＴＩＳ,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13626
3632,グリーホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13632
3635,コーエーテクモホールディングス,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13635
3636,三菱総合研究所,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13636
3649,ファインデックス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13649
3656,ＫＬａｂ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13656
3657,ポールトゥウィンホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13657
3659,ネクソン,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13659
3660,アイスタイル,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13660
3661,エムアップホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13661
3662,エイチームホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13662
3663,セルシス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13663
3665,エニグモ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13665
3668,コロプラ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13668
3673,ブロードリーフ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13673
3676,デジタルハーツホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13676
3678,メディアドゥ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13678
3679,じげん,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13679
